# RA           DEC          D_kpc    flag  
  174.265286   52.537594    9.287    0     
  195.742994   58.756547    10.416   0     
  147.912641   35.441808    8.062    0     
  136.698133   21.359146    8.541    0     
  123.589438   -7.933625    15.625   0     
  169.716891   52.166494    9.037    0     
  195.785606   58.85973     10.418   0     
  225.906469   57.851222    11.909   0     
  138.807707   23.676648    8.302    0     
  192.673079   58.213842    10.26    0     
  143.901687   32.625103    8.056    0     
  139.400597   25.085895    8.252    0     
  223.999815   58.23753     11.816   0     
  175.882612   54.915453    9.375    0     
  164.406888   47.616606    8.747    0     
  140.384497   23.886407    8.184    0     
  141.215299   24.248505    8.139    0     
  140.781708   27.430465    8.161    0     
  202.445499   58.667549    10.752   0     
  135.089937   13.708405    8.806    0     
  224.666104   57.831284    11.849   0     
  133.301139   9.537248     9.207    0     
  163.553911   46.506826    8.701    0     
  119.888367   -15.949998   20.093   0     
  229.178869   55.930296    12.07    0     
  192.222941   56.850461    10.237   0     
  190.577367   57.195472    10.153   0     
  229.170865   56.160899    12.07    0     
  182.36846    56.422217    9.724    0     
  221.854623   56.329423    11.711   0     
  232.465673   55.462017    12.231   0     
  120.594486   -13.887151   19.241   0     
  128.334334   0.635704     11.207   0     
  182.907338   56.228667    9.753    0     
  125.05831    -6.810487    13.858   0     
  141.804959   29.567503    8.113    0     
  151.518652   40.607904    8.15     0     
  212.691475   56.998289    11.26    0     
  177.259201   52.327939    9.45     0     
  206.159113   58.141707    10.937   0     
  123.950801   -11.069251   15.189   0     
  221.689204   57.40108     11.702   0     
  162.082073   47.896023    8.623    0     
  212.990353   57.822174    11.275   0     
  133.743357   15.225122    9.096    0     
  200.086133   57.218698    10.634   0     
  155.865154   43.982142    8.318    0     
  216.878605   59.250206    11.466   0     
  122.083895   -10.405016   17.443   0     
  143.389777   28.557604    8.066    0     
  201.121053   58.815836    10.686   0     
  186.514877   57.808829    9.943    0     
  140.471511   23.331243    8.179    0     
  140.409382   25.250545    8.183    0     
  157.824651   44.235923    8.409    0     
  131.67719    6.479123     9.694    0     
  167.480349   50.410279    8.914    0     
  160.401293   44.663303    8.536    0     
  227.613169   56.224576    11.993   0     
  202.087325   59.408005    10.734   0     
  146.308299   30.697039    8.045    0     
  226.045565   55.766057    11.916   0     
  207.123576   57.626475    10.985   0     
  129.227925   6.760347     10.72    0     
  225.028124   58.309623    11.866   0     
  147.761754   35.652295    8.059    0     
  191.73581    56.27449     10.212   0     
  222.935986   56.988607    11.764   0     
  158.407697   42.758672    8.437    0     
  125.282367   -3.157322    13.611   0     
  227.968114   57.016964    12.011   0     
  132.384544   11.717154    9.465    0     
